gene_description,gene_rank
 Ras and Rab interactor 1,1
 protein kinase cAMP-dependent type I regulatory subunit alpha,1
 ORAI calcium release-activated calcium modulator 2,1
 OPA1 mitochondrial dynamin like GTPase,1
 OMA1 zinc metallopeptidase,1
 semaphorin 3C,1
 semaphorin 3D,1
 semaphorin 3E,1
 semaphorin 3F,1
 semaphorin 3G,1
 semaphorin 4A,1
 semaphorin 4B,1
 semaphorin 4C,1
 semaphorin 4D,1
 semaphorin 4G,1
 semaphorin 5A,1
 semaphorin 5B,1
 semaphorin 6A,1
 semaphorin 6B,1
 semaphorin 6C,1
 semaphorin 6D,1
 semaphorin 7A (John Milton Hagen blood group),1
 semaphorin 3B,1
 semaphorin 3A,1
 selenoprotein S,1
 NADH:ubiquinone oxidoreductase complex assembly factor 5,1
 NADH:ubiquinone oxidoreductase complex assembly factor 6,1
 RNA exonuclease 2,1
 selectin L,1
" SEC31 homolog A, COPII coat complex component",1
" SEC31 homolog B, COPII coat complex component",1
 RNA exonuclease 5,1
 RNA guanine-7 methyltransferase,1
 RNA guanylyltransferase and 5'-phosphatase,1
 N-methylpurine DNA glycosylase,1
 NADH:ubiquinone oxidoreductase complex assembly factor 4,1
 SEL1L adaptor subunit of ERAD E3 ubiquitin ligase,1
 NADH:ubiquinone oxidoreductase complex assembly factor 3,1
 NADH:ubiquinone oxidoreductase complex assembly factor 2,1
 NADH:ubiquinone oxidoreductase complex assembly factor 1,1
 SEL1L2 adaptor subunit of ERAD E3 ligase,1
 pyrimidinergic receptor P2Y6,1
 senataxin,1
 N-glycanase 1,1
 septin 1,1
 MIB E3 ubiquitin protein ligase 1,1
 SH2 domain containing 2A,1
 RP9 pre-mRNA splicing factor,1
 MLLT1 super elongation complex subunit,1
 MICOS10-NBL1 readthrough,1
 MICAL like 2,1
 serine/threonine kinase 10,1
 MIB E3 ubiquitin protein ligase 2,1
 protein disulfide isomerase family A member 6,1
 SH2 domain containing 1A,1
 serpin family A member 1,1
 serpin family A member 5,1
 SH2B adaptor protein 1,1
 pyruvate dehydrogenase kinase 2,1
 pyruvate dehydrogenase kinase 3,1
 pyruvate dehydrogenase kinase 4,1
 serpin family A member 7,1
 SH2 domain containing 1B,1
 MMP24-AS1-EDEM2 readthrough,1
 pyrin domain containing 1,1
 serine and arginine rich splicing factor 10,1
 pyrin domain containing 2,1
 pyrin domain containing 5,1
 N-acyl phosphatidylethanolamine phospholipase D,1
 septin 7,1
 N-acetyltransferase 10,1
 N-acetylglucosamine-1-phosphodiester alpha-N-acetylglucosaminidase,1
 N-acetylglucosamine-1-phosphate transferase subunits alpha and beta,1
 N-acetylglucosamine-1-phosphate transferase subunit gamma,1
" SGT1 homolog, MIS12 kinetochore complex assembly cochaperone",1
 Mtr4 exosome RNA helicase,1
" MYCN proto-oncogene, bHLH transcription factor",1
" MYB proto-oncogene, transcription factor",1
 MYB proto-oncogene like 2,1
 MPV17 mitochondrial inner membrane protein like 2,1
 MPV17 mitochondrial inner membrane protein like,1
 pyruvate dehydrogenase complex component X,1
" RNA, U1 small nuclear 1",1
 RNA exonuclease 1 homolog,1
 sedoheptulokinase,1
 repulsive guidance molecule BMP co-receptor b,1
 reticulon 4,1
 reticulon 3,1
 RIO kinase 2,1
 NOP10 ribonucleoprotein,1
 ring finger protein 125,1
 ring finger protein 152,1
 ring finger protein 185,1
 ring finger protein 41,1
 ribosome binding protein 1,1
 ring finger protein 43,1
 ring finger protein 5,1
 NLR family pyrin domain containing 7,1
 NLR family pyrin domain containing 6,1
 roundabout guidance receptor 1,1
" RNA, U1 small nuclear 4",1
 roundabout guidance receptor 2,1
 NOP58 ribonucleoprotein,1
" RNA, U2 small nuclear 1",1
 rubicon autophagy regulator,1
 NSFL1 cofactor,1
 SAP30 like,1
 O-GlcNAcase,1
 SBDS ribosome maturation factor,1
" SEC11 homolog A, signal peptidase complex subunit",1
 NUS1 dehydrodolichyl diphosphate synthase subunit,1
 NUMB like endocytic adaptor protein,1
 NUMB endocytic adaptor protein,1
 protein kinase N3,1
" SEC23 homolog B, COPII coat complex component",1
 NSF attachment protein alpha,1
" NPR3 like, GATOR1 complex subunit",1
" NPR2 like, GATOR1 complex subunit",1
" NPL4 homolog, ubiquitin recognition factor",1
" SEC11 homolog C, signal peptidase complex subunit",1
 NPC1 like intracellular cholesterol transporter 1,1
" SEC23 homolog A, COPII coat complex component",1
 roundabout guidance receptor 3,1
 RNA binding motif protein 17,1
 NADH:ubiquinone oxidoreductase complex assembly factor 7,1
 purinergic receptor P2Y12,1
 NEDD8 activating enzyme E1 subunit 1,1
 secreted LY6/PLAUR domain containing 1,1
 secreted LY6/PLAUR domain containing 2,1
 secreted frizzled related protein 1,1
" RNA, U1 small nuclear 2",1
 purinergic receptor P2Y11,1
 secreted frizzled related protein 4,1
 purinergic receptor P2Y13,1
 NHL repeat containing E3 ubiquitin protein ligase 1,1
 purinergic receptor P2Y14,1
 secreted frizzled related protein 5,1
 RNA component of mitochondrial RNA processing endoribonuclease,1
 NBR1 autophagy cargo receptor,1
 protein kinase C substrate 80K-H,1
" NBL1, DAN family BMP antagonist",1
 NADH:ubiquinone oxidoreductase complex assembly factor 8,1
 NFKB inhibitor zeta,1
 scavenger receptor class B member 2,1
" reprimo, TP53 dependent G2 arrest mediator homolog",1
 salt inducible kinase 1B (putative),1
 NLR family pyrin domain containing 4,1
 NLR family pyrin domain containing 12,1
 NLR family pyrin domain containing 1,1
 replication timing regulatory factor 1,1
" RNA, U1 small nuclear 3",1
 salt inducible kinase 1,1
 RNA binding motif protein 22,1
 salt inducible kinase 2,1
 NHP2 ribonucleoprotein,1
 RNA binding motif protein 25,1
 NK6 homeobox 1,1
 RNA binding motif protein 28,1
 NK2 homeobox 2,1
 RNA binding motif protein X-linked,1
 NIN1 (RPN12) binding protein 1 homolog,1
 NIMA related kinase 7,1
 secreted frizzled related protein 2,1
 hemojuvelin BMP co-receptor,1
 G protein subunit alpha transducin 1,1
 zinc finger protein 107,1
 zinc finger protein 114,1
 zinc finger protein 12,1
 zinc finger protein 124,1
 zinc finger protein 132,1
 zinc finger protein 133,1
 zinc finger protein 135,1
 zinc finger protein 136,1
 zinc finger protein 14,1
 zinc finger protein 140,1
 zinc finger protein 141,1
 zinc finger protein 154,1
 zinc finger protein 155,1
 zinc finger protein 157,1
 zinc finger protein 160,1
 zinc finger protein 169,1
 zinc finger protein 17,1
 zinc finger protein 175,1
 zinc finger protein 177,1
 zinc finger protein 180,1
 zinc finger protein 181,1
 zinc finger protein 182,1
 zinc finger protein 184,1
 zinc finger protein 189,1
 zinc finger protein 19,1
 zinc finger protein 195,1
 zinc finger protein 112,1
 zinc finger protein 101,1
" ArfGAP with coiled-coil, ankyrin repeat and PH domains 1",1
 zinc finger protein 100,1
 vesicle associated membrane protein 5,1
 vesicle associated membrane protein 7,1
 ADP ribosylation factor GTPase activating protein 3,1
 vesicle trafficking 1,1
 vesicle transport through interaction with t-SNAREs 1A,1
 vesicle transport through interaction with t-SNAREs 1B,1
 ADP ribosylation factor GTPase activating protein 2,1
 ADP ribosylation factor GTPase activating protein 1,1
 ADP ribosylation factor 5,1
 ADP ribosylation factor 4,1
 ADP ribosylation factor 3,1
 8-oxoguanine DNA glycosylase,1
 wolframin ER transmembrane glycoprotein,1
 xyloside xylosyltransferase 1,1
 zinc and ring finger 3,1
 zinc finger CCHC-type containing 7,1
 zinc finger E-box binding homeobox 2,1
 5-azacytidine induced 2,1
 zinc finger FYVE-type containing 27,1
 zinc finger and SCAN domain containing 32,1
 zinc finger homeobox 3,1
 zinc finger imprinted 3,1
 zinc finger matrin-type 2,1
 zinc finger matrin-type 3,1
 zinc finger protein 10,1
 zinc finger protein 2,1
 zinc finger protein 20,1
 zinc finger protein 200,1
 zinc finger protein 205,1
 zinc finger protein 273,1
 zinc finger protein 274,1
 zinc finger protein 275,1
 zinc finger protein 282,1
 zinc finger protein 283,1
 zinc finger protein 284,1
 zinc finger protein 285,1
 zinc finger protein 286A,1
 zinc finger protein 3,1
 zinc finger protein 30,1
 zinc finger protein 300,1
 zinc finger protein 302,1
 zinc finger protein 304,1
 zinc finger protein 311,1
 zinc finger protein 316,1
 zinc finger protein 317,1
 zinc finger protein 320,1
 zinc finger protein 324,1
 zinc finger protein 324B,1
 zinc finger protein 331,1
 zinc finger protein 333,1
 zinc finger protein 334,1
 zinc finger protein 337,1
 zinc finger protein 33A,1
 zinc finger protein 33B,1
 zinc finger protein 268,1
 zinc finger protein 267,1
 zinc finger protein 26,1
 zinc finger protein 229,1
 zinc finger protein 208,1
 zinc finger protein 211,1
 zinc finger protein 212,1
 zinc finger protein 214,1
 zinc finger protein 221,1
 zinc finger protein 222,1
 zinc finger protein 223,1
 zinc finger protein 224,1
 zinc finger protein 225,1
 zinc finger protein 226,1
 zinc finger protein 227,1
 zinc finger protein 23,1
 zinc finger protein 257,1
 zinc finger protein 230,1
 zinc finger protein 233,1
 zinc finger protein 234,1
 zinc finger protein 235,1
 zinc finger protein 248,1
 zinc finger protein 25,1
 zinc finger protein 250,1
 zinc finger protein 251,1
 zinc finger protein 253,1
 zinc finger protein 254,1
 zinc finger protein 256,1
 vesicle associated membrane protein 4,1
 ADP ribosylation factor guanine nucleotide exchange factor 1,1
 ADP ribosylation factor guanine nucleotide exchange factor 2,1
 ubiquitin related modifier 1,1
 ATP binding cassette subfamily C member 10,1
 ubiquitin conjugating enzyme E2 M,1
 ATP binding cassette subfamily B member 8,1
 ubiquitin conjugating enzyme E2 O,1
 ubiquitin conjugating enzyme E2 Q family like 1,1
 ubiquitin conjugating enzyme E2 Q1,1
 ubiquitin conjugating enzyme E2 Q2,1
 ubiquitin conjugating enzyme E2 R2,1
 ubiquitin conjugating enzyme E2 S,1
 ubiquitin conjugating enzyme E2 T,1
 ubiquitin conjugating enzyme E2 U,1
 ubiquitin conjugating enzyme E2 V1,1
 ubiquitin conjugating enzyme E2 V2,1
 ubiquitin conjugating enzyme E2 W,1
 ubiquitin conjugating enzyme E2 Z,1
 ubiquitin interaction motif containing 1,1
 ATP binding cassette subfamily B member 7,1
 ubiquitin like modifier activating enzyme 2,1
 ubiquitin like modifier activating enzyme 3,1
 ubiquitin like modifier activating enzyme 6,1
 ATP binding cassette subfamily B member 6 (Langereis blood group),1
 ATP binding cassette subfamily B member 5,1
 ubiquitin protein ligase E3 component n-recognin 5,1
 ubiquitin protein ligase E3B,1
 ubiquitin protein ligase E3C,1
 ATP binding cassette subfamily C member 11,1
 ubiquitin conjugating enzyme E2 K,1
 ATP binding cassette subfamily C member 12,1
 ATR interacting protein,1
" ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 1",1
" ArfGAP with GTPase domain, ankyrin repeat and PH domain 9",1
 tyrosyl-tRNA synthetase 1,1
 tyrosyl-tRNA synthetase 2,1
" ArfGAP with GTPase domain, ankyrin repeat and PH domain 6",1
" ArfGAP with GTPase domain, ankyrin repeat and PH domain 5",1
" ArfGAP with GTPase domain, ankyrin repeat and PH domain 4",1
" ArfGAP with GTPase domain, ankyrin repeat and PH domain 3",1
" ArfGAP with GTPase domain, ankyrin repeat and PH domain 1",1
 AXL receptor tyrosine kinase,1
 ATXN8 opposite strand lncRNA,1
 ATPase H+ transporting accessory protein 2,1
 ATP binding cassette subfamily C member 6,1
 ATP binding cassette subfamily G member 4,1
 ubiquitin conjugating enzyme E2 A,1
 ubiquitin conjugating enzyme E2 B,1
 ubiquitin conjugating enzyme E2 C,1
 ATP binding cassette subfamily F member 2,1
 ubiquitin conjugating enzyme E2 E1,1
 ubiquitin conjugating enzyme E2 E2,1
 ubiquitin conjugating enzyme E2 E3,1
 ubiquitin conjugating enzyme E2 F (putative),1
 ATP binding cassette subfamily C member 9,1
 ubiquitin conjugating enzyme E2 H,1
 ubiquitin recognition factor in ER associated degradation 1,1
 ubiquitin specific peptidase 1,1
 vesicle associated membrane protein 1,1
 ubiquitin specific peptidase 15,1
 uronyl 2-sulfotransferase,1
 uroplakin 3A,1
 AT-hook containing transcription factor 1,1
" ASPSCR1 tether for SLC2A4, UBX domain containing",1
 urotensin 2,1
 urotensin 2 receptor,1
 urotensin 2B,1
 vacuolar protein sorting 25 homolog,1
 vacuolar protein sorting 36 homolog,1
" ASH2 like, histone lysine methyltransferase complex subunit",1
 vacuolar protein sorting 45 homolog,1
 vacuole membrane protein 1,1
 APOBEC3A and APOBEC3B deletion hybrid,1
 valyl-tRNA synthetase 1,1
" valyl-tRNA synthetase 2, mitochondrial",1
 ANTXR cell adhesion molecule 2,1
 ANTXR cell adhesion molecule 1,1
 vasoactive intestinal peptide receptor 1,1
 AHNAK nucleoprotein 2,1
 AHNAK nucleoprotein,1
 AFG3 like matrix AAA peptidase subunit 2,1
 AF4/FMR2 family member 1,1
 ADP ribosylation factor like GTPase 8B,1
 versican,1
 ADP ribosylation factor like GTPase 8A,1
 urocortin 3,1
 urocortin 2,1
 urocortin,1
 unc-5 netrin receptor A,1
 ubiquitin specific peptidase 21,1
 ubiquitin specific peptidase 25,1
 ubiquitin specific peptidase 30,1
 ubiquitin specific peptidase 39,1
 ATP binding cassette subfamily B member 10,1
 ATP binding cassette subfamily A member 9,1
 ubiquitination factor E4A,1
 ATP binding cassette subfamily A member 8,1
 unc-13 homolog A,1
 unc-13 homolog B,1
 unc-13 homolog C,1
 unc-5 netrin receptor B,1
 AT-rich interaction domain 2,1
 unc-5 netrin receptor C,1
 unc-5 netrin receptor D,1
 ATP binding cassette subfamily A member 7,1
 ATP binding cassette subfamily A member 6,1
 unconventional SNARE in the ER 1,1
 ATP binding cassette subfamily A member 5,1
 ATP binding cassette subfamily A member 4,1
 ATP binding cassette subfamily A member 3,1
 ATP binding cassette subfamily A member 13,1
 ATP binding cassette subfamily A member 12,1
 ATP binding cassette subfamily A member 10,1
 zinc finger protein 34,1
 zinc finger protein 343,1
 zinc finger protein 347,1
 zinc finger protein 777,1
 zinc finger protein 709,1
 zinc finger protein 713,1
 zinc finger protein 714,1
 zinc finger protein 716,1
 zinc finger protein 717,1
 zinc finger protein 718,1
 zinc finger protein 721,1
 zinc finger protein 726,1
 zinc finger protein 727,1
 zinc finger protein 729,1
 zinc finger protein 730,1
 zinc finger protein 735,1
 zinc finger protein 736,1
 zinc finger protein 737,1
 zinc finger protein 74,1
 zinc finger protein 746,1
 zinc finger protein 749,1
 zinc finger protein 761,1
 zinc finger protein 763,1
 zinc finger protein 764,1
 zinc finger protein 765,1
 zinc finger protein 766,1
 zinc finger protein 768,1
 zinc finger protein 77,1
 zinc finger protein 772,1
 zinc finger protein 708,1
 zinc finger protein 707,1
 zinc finger protein 705D,1
 zinc finger protein 675,1
 zinc finger protein 630,1
 zinc finger protein 641,1
 zinc finger protein 649,1
 zinc finger protein 658,1
 zinc finger protein 662,1
 zinc finger protein 665,1
 zinc finger protein 667,1
 zinc finger protein 669,1
 zinc finger protein 670,1
 zinc finger protein 671,1
 zinc finger protein 674,1
 zinc finger protein 676,1
 zinc finger protein 705A,1
 zinc finger protein 677,1
 zinc finger protein 679,1
 zinc finger protein 680,1
 zinc finger protein 682,1
 zinc finger protein 684,1
 zinc finger protein 688,1
 zinc finger protein 689,1
 zinc finger protein 699,1
 zinc finger protein 7,1
 zinc finger protein 700,1
 zinc finger protein 701,1
 zinc finger protein 773,1
 zinc finger protein 778,1
 zinc finger protein 624,1
 zinc finger protein 780A,1
 zinc finger protein 853,1
 zinc finger protein 860,1
 zinc finger protein 875,1
 zinc finger protein 878,1
 zinc finger protein 879,1
 zinc finger protein 888,1
 zinc finger protein 891,1
 zinc finger protein 90,1
 zinc finger protein 91,1
 zinc finger protein 93,1
 zinc finger protein 98,1
 zinc finger protein 99,1
 zinc finger protein interacting with K protein 1,1
" zinc finger protein, FOG family member 2",1
 zinc metallopeptidase STE24,1
 zyxin,1
TBC1D7-LOC100130357 readthrough,1
hsa:100131539,1
 2-hydroxyacyl-CoA lyase 1,1
" 2,4-dienoyl-CoA reductase 2",1
olfactory receptor 2A1/2A42-like,1
olfactory receptor 2A7,1
olfactory receptor 4N4-like,1
 2'-5'-oligoadenylate synthetase like,1
 15-hydroxyprostaglandin dehydrogenase,1
 zinc finger protein 850,1
 zinc finger protein 85,1
 zinc finger protein 846,1
 zinc finger protein 8,1
 zinc finger protein 780B,1
 zinc finger protein 782,1
 zinc finger protein 783,1
 zinc finger protein 785,1
 zinc finger protein 786,1
 zinc finger protein 79,1
 zinc finger protein 790,1
 zinc finger protein 791,1
 zinc finger protein 792,1
 zinc finger protein 793,1
 zinc finger protein 799,1
 zinc finger protein 805,1
 zinc finger protein 845,1
 zinc finger protein 808,1
 zinc finger protein 81,1
 zinc finger protein 813,1
 zinc finger protein 814,1
 zinc finger protein 816,1
 zinc finger protein 823,1
 zinc finger protein 829,1
 zinc finger protein 83,1
 zinc finger protein 836,1
 zinc finger protein 84,1
 zinc finger protein 841,1
 zinc finger protein 627,1
 zinc finger protein 623,1
 zinc finger protein 350,1
 zinc finger protein 534,1
 zinc finger protein 442,1
 zinc finger protein 443,1
 zinc finger protein 45,1
 zinc finger protein 454,1
 zinc finger protein 460,1
 zinc finger protein 461,1
